LABELS
SEPARATOR COMMA
DATA
NODE_ID,LABEL,CLASS
A0A847F7V9,Sandaracinaceae bacterium
A0A7V2WF40,Aeromonadales bacterium
A0A7Y0XV28,Chlorobiaceae bacterium
A0A7Y1YXC7,Lysobacterales bacterium
A0A7Y2NZP5,Telluria aromaticivorans
A0A819F213,Adineta steineri
A0A835WLC7,Chlamydomonas schloesseri
A4S054,Ostreococcus lucimarinus (strain CCE9901)
F0YEA7,Aureococcus anophagefferens (Harmful bloom alga)
Q9ZUE2,Arabidopsis thaliana (Mouse-ear cress)
R0IG01,Capsella rubella
V4KWJ9,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)
A0A452IAN9,Gopherus agassizii (Agassiz's desert tortoise)
A0A452IB50,Gopherus agassizii (Agassiz's desert tortoise)
A0A7R9AFK0,Darwinula stevensoni
A0A087SBM1,Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
A0A0M0JC04,Chrysochromulina tobinii
A0A150GCM8,Gonium pectorale (Green alga)
A0A178WMX6,Arabidopsis thaliana (Mouse-ear cress)
A0A1H0HTV1,Rhodoferax sp. OV413
A0A1H6UT53,Variovorax sp. OK202
A0A1Y1IS14,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A1Z9H330,Proteobacteria bacterium TMED154
A0A250WR40,Chlamydomonas eustigma
A0A2E0GM55,Gammaproteobacteria bacterium
A0A2E0TK86,Sandaracinus sp
A0A2E9QEP0,Spirochaetaceae bacterium
A0A2N3VZ96,Streptomyces sp. TLI_146
A0A2V0P0J7,Raphidocelis subcapitata
A0A2W1JDH8,Acaryochloris thomasi RCC1774
A0A317T4J8,Prosthecochloris marina
A0A349N565,Gammaproteobacteria bacterium
A0A3D3FKG6,Treponema sp
A0A3F2RKC8,Phytophthora kernoviae
A0A3P6EW46,Brassica oleracea (Wild cabbage)
A0A4S3FI97,Massilia sp. Mn16-1_5
A0A533TWC3,Chlorobium sp
A0A565ASC7,Arabis nemorensis
A0A5J4XI69,Trebouxia sp. A1-2
A0A5S9VR13,Arabidopsis thaliana (Mouse-ear cress)
A0A6A3HNP9,Phytophthora rubi
A0A6D2HUK3,Microthlaspi erraticum
A0A6I7PLE9,Spirochaetaceae bacterium
A0A6I7PPY8,Spirochaetaceae bacterium
A0A7C4SYA4,Spirochaetota bacterium (Spirochaetes)
A0A7J8H7V7,Rousettus aegyptiacus (Egyptian fruit bat) (Pteropus aegyptiacus)
A0A7S1Y726,Grammatophora oceanica
A0A7S3F2R6,Haptolina ericina
A0A7S3L6T1,Amphora coffeiformis
A0A7Y3HBX0,Lysobacterales bacterium
A0A812ECM3,Sepia pharaonis (Pharaoh cuttlefish)
A0A841DZZ4,Kribbella solani
D8R0I6,Selaginella moellendorffii (Spikemoss)
Q0YRG4,Chlorobium ferrooxidans DSM 13031
Q38888,Arabidopsis thaliana (Mouse-ear cress)
Q9ZUC8,Arabidopsis thaliana (Mouse-ear cress)
V9EQT0,Phytophthora nicotianae P1569
W2IMM9,Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)
W2PDG5,Phytophthora nicotianae (strain INRA-310) (Phytophthora parasitica)
A0A3P8ND77,Astatotilapia calliptera (Eastern happy) (Chromis callipterus)
A0A1D1VU38,Ramazzottius varieornatus (Water bear) (Tardigrade)
A0A507CED2,Synchytrium microbalum
A0A6P7S633,Octopus vulgaris (Common octopus)
R7V9W1,Capitella teleta (Polychaete worm)
S4RXK4,Petromyzon marinus (Sea lamprey)
A0A011QCX8,Accumulibacter regalis
A0A067CQE8,Saprolegnia parasitica (strain CBS 223.65)
A0A067GUN2,Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)
A0A069DUN0,Panstrongylus megistus
A0A1X6P0P5,Porphyra umbilicalis (Purple laver) (Red alga)
A0A1Z4JHX3,Leptolyngbya boryana NIES-2135
A0A222SGD8,Prosthecochloris sp. GSB1
A0A2N1R1Y7,Spirochaetae bacterium HGW-Spirochaetae-9
A0A2P6V2D7,Micractinium conductrix
A0A2V0PFL2,Raphidocelis subcapitata
A0A2W4XKS7,Phormidesmis priestleyi
A0A329RPU1,Phytophthora cactorum
A0A399XN25,Acidobacteriota bacterium
A0A3F2RJN6,Phytophthora kernoviae
A0A3M1CUP5,Deltaproteobacteria bacterium
A0A3N4IMI5,Ascobolus immersus RN42
A0A3P6AYH7,Brassica campestris (Field mustard)
A0A449G9C0,Gordonia paraffinivorans
A0A533T5L7,Chlorobium sp
A0A537DHZ8,Betaproteobacteria bacterium
A0A5B8NAK5,Noviherbaspirillum sp. UKPF54
A0A651E0Y3,Gemmatimonadales bacterium
A0A661MU95,Deltaproteobacteria bacterium
A0A6A3I1L4,Phytophthora rubi
A0A6C1QUD6,Spirochaetaceae bacterium
A0A6J0KNY0,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)
A0A7C3ZP88,Planktothricoides sp. SpSt-374
A0A7C8Z074,Opuntia streptacantha (Prickly pear cactus) (Opuntia cardona)
A0A7S1CYB1,Cyclophora tenuis (Marine diatom)
A0A7S1TWT6,Phaeomonas parva
A0A7S3RFW1,Strombidinopsis acuminata
A0A7S3VUE8,Dunaliella tertiolecta (Green alga)
A0A7V4EKY4,bacterium
A0A812KRT7,Symbiodinium sp. CCMP2592
A0A830BSY2,Phtheirospermum japonicum
A0A8B5WQZ0,Spirochaetaceae bacterium
D2VTQ0,Naegleria gruberi (Amoeba)
D6WT76,Tribolium castaneum (Red flour beetle)
K9SR89,Synechococcus sp. PCC 7502
K9V8E2,Calothrix sp. PCC 6303
M1BCT7,Solanum tuberosum (Potato)
R0GTV5,Capsella rubella
V4TP09,Citrus clementina (Clementine) (Citrus deliciosa x Citrus sinensis)
A0A1H3M307,Micromonospora pattaloongensis
A0A3B3ZDP8,Periophthalmus magnuspinnatus
A0A3L8DCB3,Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)
A0A6P6LX30,Carassius auratus (Goldfish)
A0A6P8IXL9,Actinia tenebrosa (Australian red waratah sea anemone)
A0A816FBU6,Rotaria sordida
A0A817K043,Rotaria sp. Silwood2
A0A078J4W1,Brassica napus (Rape)
A0A0B0MVX2,Gossypium arboreum (Tree cotton) (Gossypium nanking)
A0A0K2YR85,Rhodococcus sp. RD6.2
A0A176VQW5,Marchantia polymorpha subsp. ruderalis
A0A178WN05,Arabidopsis thaliana (Mouse-ear cress)
A0A1D1ZX34,Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
A0A2E1IR72,Cyanobium sp. MED843
A0A2P6TYN1,Chlorella sorokiniana (Freshwater green alga)
A0A2V0P7T1,Raphidocelis subcapitata
A0A397L177,Brassica campestris (Field mustard)
A0A3C1KUV7,Myxococcales bacterium
A0A3M1B896,Planctomycetota bacterium
A0A4D9DD14,Nannochloropsis salina CCMP1776
A0A4U3LPW1,Kribbella jiaozuonensis
A0A521K1L4,Nitrospirota bacterium
A0A5B8MBR2,Chloropicon primus
A0A652ZTD8,uncultured Spirochaetota bacterium
A0A662XDJ9,Nothophytophthora sp. (strain Chile5)
A0A6A0AL21,Haematococcus lacustris (Green alga) (Haematococcus pluvialis)
A0A6A4C467,Phytophthora rubi
A0A6I8NEF7,Ornithorhynchus anatinus (Duckbill platypus)
A0A6J0JED2,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)
A0A7C4E389,Betaproteobacteria bacterium
A0A7M4ELD9,Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)
A0A7R8XCD3,Darwinula stevensoni
A0A7S0WTH3,Pyramimonas obovata
A0A7S0WU40,Chlamydomonas leiostraca
A0A7S0ZPW1,Noctiluca scintillans (Sea sparkle) (Red tide dinoflagellate)
A0A7S2B1P7,Alexandrium andersonii
A0A7S2IIZ1,Haptolina brevifila
A0A7X7T311,Holophagae bacterium
A0A813GBU7,Polarella glacialis (Dinoflagellate)
A0A835Y6P1,Edaphochlamys debaryana
E1Z3K6,Chlorella variabilis (Green alga)
E1ZR86,Chlorella variabilis (Green alga)
G1LFM3,Ailuropoda melanoleuca (Giant panda)
M1WZ06,Richelia intracellularis HH01
M2W8X6,Galdieria sulphuraria (Red alga)
Q31PK7,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)
A0A3S1H3M3,Elysia chlorotica (Eastern emerald elysia) (Sea slug)
A0A672MG80,Sinocyclocheilus grahami (Dianchi golden-line fish) (Barbus grahami)
A0A7J6HKK2,Cannabis sativa (Hemp) (Marijuana)
A0A7L3AZ76,Syrrhaptes paradoxus (Pallas's sandgrouse)
A0A818XTS2,Adineta steineri
A0A0D3D736,Brassica oleracea var. oleracea
A0A0V1L9C1,Trichinella nativa
A0A1P8AUR4,Arabidopsis thaliana (Mouse-ear cress)
A0A246RT66,Micromonospora wenchangensis
A0A250WWE9,Chlamydomonas eustigma
A0A2E7ZR91,Myxococcales bacterium
A0A2K1ICX5,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A2P6V6E9,Micractinium conductrix
A0A2R6RB15,Actinidia chinensis var. chinensis (Chinese soft-hair kiwi)
A0A2T9Y0E5,Smittium megazygosporum
A0A2U1RN69,Candidatus Methylomirabilota bacterium
A0A2W4SUK5,Pseudomonadota bacterium
A0A351BCG2,Accumulibacter sp
A0A3R7M8P6,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)
A0A427AK23,Ensete ventricosum (Abyssinian banana) (Musa ensete)
A0A536U264,Betaproteobacteria bacterium
A0A5N5I998,Pyrus ussuriensis x Pyrus communis
A0A6A3WZA5,Phytophthora fragariae
A0A6N2AUL7,Solanum chilense (Tomato) (Lycopersicon chilense)
A0A6N2D1F7,Deltaproteobacteria bacterium
A0A7I4CC49,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7I8CX80,Paraburkholderia sp. PGU19
A0A7J7QQE8,Scenedesmus sp. NREL 46B-D3
A0A7R9SZN4,Ostreococcus sp. 'lucimarinus'
A0A7S0IX94,Calcidiscus leptoporus
A0A7S0WI01,Ostreococcus mediterraneus
A0A7S3A1M1,Rhodosorus marinus
A0A7S4F8J8,Chrysotila carterae (Marine alga) (Syracosphaera carterae)
A0A835XY46,Edaphochlamys debaryana
A0A836BSA9,Edaphochlamys debaryana
A9RFP1,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
D7KNH0,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
H3GPV7,Phytophthora ramorum (Sudden oak death agent)
I0YSE2,Coccomyxa subellipsoidea (strain C-169) (Green microalga)
K3W9H8,Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144) (Pythium ultimum)
K3WXI0,Globisporangium ultimum (strain ATCC 200006 / CBS 805.95 / DAOM BR144) (Pythium ultimum)
L8DPU5,Rhodococcus sp. AW25M09
Q9ZUD5,Arabidopsis thaliana (Mouse-ear cress)
R7QCL7,Chondrus crispus (Carrageen Irish moss) (Polymorpha crispa)
U7MNS9,Corynebacterium sp. KPL1989
W2I621,Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)
W2YWI8,Phytophthora nicotianae P10297
A0A667YJ04,Myripristis murdjan (pinecone soldierfish)
A0A6B0S7M7,Bos mutus (wild yak)
A0A6P5A4S8,Branchiostoma belcheri (Amphioxus)
A0A6P8EWJ6,Clupea harengus (Atlantic herring)
A0A6V7HB33,Heterotrigona itama
A0A7S1ZVU3,Trieres chinensis (Marine centric diatom) (Odontella sinensis)
A0A078JQJ0,Brassica napus (Rape)
A0A0D2JM47,Monoraphidium neglectum
A0A0D2KRB7,Monoraphidium neglectum
A0A0D2LV94,Monoraphidium neglectum
A0A0P0XKL1,Oryza sativa subsp. japonica (Rice)
A0A1D2A650,Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
A0A1F9M9S9,Deltaproteobacteria bacterium RIFOXYA12_FULL_61_11
A0A225UPM8,Phytophthora megakarya
A0A2E2KF41,Spongiibacter sp
A0A2J7ZSM0,Tetrabaena socialis
A0A2P6VP59,Micractinium conductrix
A0A2S8B3V3,Sphingopyxis lindanitolerans
A0A2V3IIU4,Gracilariopsis chorda
A0A349B5G7,Acidimicrobiaceae bacterium
A0A366ZL64,Blastococcus sp. TF02-09
A0A3C1HH98,Verrucomicrobiales bacterium
A0A3P6F7Q2,Brassica oleracea (Wild cabbage)
A0A424HAN7,Synechococcus sp. TMED155
A0A438J5W3,Vitis vinifera (Grape)
A0A4U6X9M0,Colletotrichum tanaceti
A0A4V3XGD6,Bondarzewia mesenterica
A0A5D2EAC4,Gossypium darwinii (Darwin's cotton) (Gossypium barbadense var. darwinii)
A0A5F7ZQ19,Macaca mulatta (Rhesus macaque)
A0A5J4YMG5,Porphyridium purpureum (Red alga) (Porphyridium cruentum)
A0A5J4ZAD4,Porphyridium purpureum (Red alga) (Porphyridium cruentum)
A0A640SR02,Streptomyces glebosus
A0A6A4Q2I5,Lupinus albus (White lupine) (Lupinus termis)
A0A6D2J514,Microthlaspi erraticum
A0A6H5K8Y1,Ectocarpus sp. CCAP 1310/34
A0A7C9EXT9,Opuntia streptacantha (Prickly pear cactus) (Opuntia cardona)
A0A7C9F8E8,Opuntia streptacantha (Prickly pear cactus) (Opuntia cardona)
A0A7X6R258,Nocardia gamkensis
A0A835Y362,Edaphochlamys debaryana
A0A836C7I1,Edaphochlamys debaryana
A8HQR3,Chlamydomonas reinhardtii (Chlamydomonas smithii)
B5Y4V2,Phaeodactylum tricornutum (strain CCAP 1055/1)
D2V6Z4,Naegleria gruberi (Amoeba)
E1Z9C6,Chlorella variabilis (Green alga)
F4I6A3,Arabidopsis thaliana (Mouse-ear cress)
M1VE17,Cyanidioschyzon merolae (strain NIES-3377 / 10D) (Unicellular red alga)
Q8KEZ5,Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)
W2IKI5,Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)
A0A3L8RZ23,Chloebia gouldiae (Gouldian finch) (Erythrura gouldiae)
A0A4U1FBD4,Monodon monoceros (Narwhal) (Ceratodon monodon)
A0A663N988,Athene cunicularia (Burrowing owl) (Speotyto cunicularia)
A0A6A6L6Y8,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
A0A7J5YA44,Dissostichus mawsoni (Antarctic cod)
A0A059B0T7,Eucalyptus grandis (Flooded gum)
A0A072TT54,Medicago truncatula (Barrel medic) (Medicago tribuloides)
A0A078HUA9,Brassica napus (Rape)
A0A081ABC5,Phytophthora nicotianae P1976
A0A0V1CYF0,Trichinella britovi (Parasitic roundworm)
A0A0V1JDZ5,Trichinella pseudospiralis (Parasitic roundworm)
A0A150FX50,Gonium pectorale (Green alga)
A0A1Q9EQ50,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)
A0A2C9WNE9,Manihot esculenta (Cassava) (Jatropha manihot)
A0A2K3NI47,Trifolium pratense (Red clover)
A0A2P6TRG3,Chlorella sorokiniana (Freshwater green alga)
A0A2V0NQB2,Raphidocelis subcapitata
A0A317GTS1,Pseudomonadota bacterium
A0A353B5Y9,Planctomycetaceae bacterium
A0A3D1IV36,Oxalobacteraceae bacterium
A0A431L5L9,Candidatus Melainabacteria bacterium
A0A4R5D9X1,Jiangella asiatica
A0A504BKX7,Mesorhizobium sp. B2-1-3A
A0A538AZH8,Actinomycetes bacterium
A0A5E8CHR7,seawater metagenome
A0A5J4Y2J2,Trebouxia sp. A1-2
A0A5N6RUL5,Carpinus fangiana
A0A661MWX7,Deltaproteobacteria bacterium
A0A6A2X4T7,Hibiscus syriacus (Rose of Sharon)
A0A6A6KCU0,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)
A0A6D2JGK1,Microthlaspi erraticum
A0A6H9WGW0,Pseudoclavibacter endophyticus
A0A6P0GEE9,Geodermatophilus normandii
A0A6P5YE08,Durio zibethinus (Durian)
A0A6P5YE97,Durio zibethinus (Durian)
A0A7I4CZJ1,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7J6DK71,Cannabis sativa (Hemp) (Marijuana)
A0A7J8YTP5,Gossypium aridum (American cotton) (Erioxylum aridum)
A0A7R9YDQ6,Pinguiococcus pyrenoidosus
A0A7S0KS88,Micromonas pusilla (Picoplanktonic green alga) (Chromulina pusilla)
A0A804IMW7,Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)
A0A830I3F8,Pycnococcus provasolii
A0A833R2P7,Carex littledalei
A0A835Y8M7,Edaphochlamys debaryana
B3RQ33,Trichoplax adhaerens (Trichoplax reptans)
E6PRN9,mine drainage metagenome
M1B5T8,Solanum tuberosum (Potato)
A0A7M5WZU6,Clytia hemisphaerica
B4MNH4,Drosophila willistoni (Fruit fly)
F8MDE9,Neurospora tetrasperma (strain FGSC 2508 / ATCC MYA-4615 / P0657)
Q8MLV6,Drosophila melanogaster (Fruit fly)
A0A024TBS2,Aphanomyces invadans
A0A078FF27,Brassica napus (Rape)
A0A078HUM8,Brassica napus (Rape)
A0A090M3U7,Ostreococcus tauri
A0A0D6QSV4,Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)
A0A199VXB3,Ananas comosus (Pineapple) (Ananas ananas)
A0A1Q3C0G7,Cephalotus follicularis (Albany pitcher plant)
A0A1Y1I5E0,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A251XVX2,Clavibacter michiganensis
A0A2K3DAN8,Chlamydomonas reinhardtii (Chlamydomonas smithii)
A0A2P6RF28,Rosa chinensis (China rose)
A0A2P6V355,Micractinium conductrix
A0A2V0P340,Raphidocelis subcapitata
A0A2V0P381,Raphidocelis subcapitata
A0A329S3X2,Phytophthora cactorum
A0A392MMN4,Trifolium medium
A0A399FZ98,candidate division NPL-UPA2 bacterium Unc8
A0A3M1MM02,Planctomycetota bacterium
A0A444XIW0,Arachis hypogaea (Peanut)
A0A523DZM4,Acidobacteriota bacterium
A0A5D2K8T9,Gossypium tomentosum (Hawaiian cotton) (Gossypium sandvicense)
A0A5J4XP58,Trebouxia sp. A1-2
A0A5J4Z149,Porphyridium purpureum (Red alga) (Porphyridium cruentum)
A0A5J5AVW0,Nyssa sinensis
A0A5S9VR36,Arabidopsis thaliana (Mouse-ear cress)
A0A6G9YKK3,Nocardia arthritidis
A0A6J0LK17,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus)
A0A6N2LBI2,Salix viminalis (Common osier) (Basket willow)
A0A6P4ARU3,Ziziphus jujuba (Chinese jujube) (Ziziphus sativa)
A0A7I4FIP8,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7I8KS71,Spirodela intermedia (Intermediate duckweed)
A0A7K0DYB4,Nocardia aurantia
A0A7R9SXG2,Pycnococcus provasolii
A0A7R9YQ50,Chlamydomonas euryale
A0A7S1X3D0,Tetraselmis chuii
A0A7S2XRU7,Attheya septentrionalis
B7FNC8,Medicago truncatula (Barrel medic) (Medicago tribuloides)
C1MHV5,Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga)
D0P0X9,Phytophthora infestans (strain T30-4) (Potato late blight agent)
D8UEG8,Volvox carteri f. nagariensis
I0YQ58,Coccomyxa subellipsoidea (strain C-169) (Green microalga)
M4DIL0,Brassica campestris (Field mustard)
R0IK04,Capsella rubella
W2YYK0,Phytophthora nicotianae P10297
A0A369S2K0,Trichoplax sp. H2
A0A498HJR7,Malus domestica (Apple) (Pyrus malus)
A0A7R8XDZ0,Darwinula stevensoni
A0A803XTE8,Meleagris gallopavo (Wild turkey)
D4A135,Rattus norvegicus (Rat)
A0A059LNP1,Helicosporidium sp. ATCC 50920
A0A0W8CPU1,Phytophthora nicotianae (Potato buckeye rot agent) (Phytophthora parasitica)
A0A178W6B6,Arabidopsis thaliana (Mouse-ear cress)
A0A1S3E2I9,Cicer arietinum (Chickpea) (Garbanzo)
A0A1X6P5E5,Porphyra umbilicalis (Purple laver) (Red alga)
A0A1Y1IJ95,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A250XPT9,Chlamydomonas eustigma
A0A2I0VIS0,Dendrobium catenatum
A0A2K1L0Z4,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A2K3CZD3,Chlamydomonas reinhardtii (Chlamydomonas smithii)
A0A2P6V6V2,Micractinium conductrix
A0A2R6WKK2,Marchantia polymorpha (Common liverwort) (Marchantia aquatica)
A0A2V0P923,Raphidocelis subcapitata
A0A2Z6P3E6,Trifolium subterraneum (Subterranean clover)
A0A328E627,Cuscuta australis
A0A378YF94,Nocardia otitidiscaviarum
A0A383W7M5,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus)
A0A421EZ99,Phytophthora kernoviae
A0A444XIV8,Arachis hypogaea (Peanut)
A0A445BLH7,Arachis hypogaea (Peanut)
A0A4P9JFN6,Poa pratensis (Kentucky bluegrass) (Phalaris japonica)
A0A4Q5WKE6,Chitinophagaceae bacterium
A0A4Z0F757,Candidatus Macondimonas diazotrophica
A0A5B9MBV6,Stieleria maiorica
A0A5J9VLD6,Eragrostis curvula (weeping love grass)
A0A6D2JAK3,Microthlaspi erraticum
A0A6G0WW48,Aphanomyces euteiches
A0A6I9QHV8,Elaeis guineensis var. tenera (Oil palm)
A0A6P8C3N4,Punica granatum (Pomegranate)
A0A7C5PRT3,Gammaproteobacteria bacterium
A0A7I4C5B0,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)
A0A7S1ETV3,Timspurckia oligopyrenoides
A0A7S1XIM4,Erythrolobus australicus
A0A7S3UH11,Picocystis salinarum
A0A816M4Q8,Brassica napus (Rape)
A0A817GDX9,Rotaria sp. Silwood2
A0A833QSB1,Carex littledalei
D7KNG9,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
I0YQ30,Coccomyxa subellipsoidea (strain C-169) (Green microalga)
Q9ZUD7,Arabidopsis thaliana (Mouse-ear cress)
V4KWK5,Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)
Q8CI52,Mus musculus (Mouse)
A0A1B6M2L3,Graphocephala atropunctata
A0A1U8FBY6,Capsicum annuum (Capsicum pepper)
A0A7L0LCL5,Sylvietta virens (Green crombec)
A0A7R9V5L9,Chlamydomonas euryale
W5KKS2,Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)
A0A087HQN7,Arabis alpina (Alpine rock-cress)
A0A0D2NT28,Monoraphidium neglectum
A0A0G3HAK8,Corynebacterium testudinoris
A0A1J4MAM9,Cryptosporidium ubiquitum
A0A251QF78,Prunus persica (Peach) (Amygdalus persica)
A0A2I0AGF3,Apostasia shenzhenica
A0A2P6U2P1,Chlorella sorokiniana (Freshwater green alga)
A0A2R6WMA1,Marchantia polymorpha (Common liverwort) (Marchantia aquatica)
A0A2U1NA75,Artemisia annua (Sweet wormwood)
A0A314Z031,Prunus yedoensis var. nudiflora
A0A354AXR5,Synechococcales bacterium UBA10510
A0A397YDM9,Brassica campestris (Field mustard)
A0A3N7G0M8,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)
A0A3P5Y3L9,Brassica campestris (Field mustard)
A0A3P6BP30,Brassica campestris (Field mustard)
A0A3P7E011,Wuchereria bancrofti
A0A3Q7H6R7,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
A0A485MER1,Lynx pardinus (Iberian lynx) (Felis pardina)
